Reasons,Predicted Labels,Actual Labels
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Not Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Rheumatoid Arhtritis
Not Rheumatoid Arthritis,Not Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arhtritis
